"Indiquez le nom de votre structure";"Ce formulaire est destiné à enregistrer votre jeu au sein de l'espace Indépendant. Les informations textes et images de votre jeu seront exploitées dans des documents de communication.";"Nom du jeu / projet présenté";"Description de votre jeu : Quel type ? Nombre de joueurs ? Quelle ambiance ?  (environ 500 caractères maximum)";"Sur quelle plateforme(s)";"Si autre précisez :";"Un site web ?";"Une vidéo ?";"Screenshot 1";"Screenshot 2";"Screenshot 3";"Jaquette";"Date de sortie du jeu (effective, prévue ou estimée) (jj/mm/aaaa)";"Quel matériel amenez-vous ? (nombre d'écran, PC, manettes ...)";"De quel matériel auriez-vous idéalement besoin ?";"Commentaire";"Traité";"Date Modification";"";"";""
"GAMELIER";"Sélectionner";"Herocoli";"Hero.Coli est un jeu d'aventure et de puzzle permettant d'apprendre les principes de base de la biologie de synthèse.";"Windows,OSX,Linux";"";"http://herocoli.com/";"";"http://files.intrazik.com/231/gamelier-screenshot-1-3133-493-20150502-095808.png";"http://files.intrazik.com/231/gamelier-screenshot-2-3371-493-20150502-095809.jpg";"";"";"";"Indiquez le matériel technique et mobilier que vous amenez (PLV, signalitiques .. )";"Indiquez le matériel technique et mobilier nécessaire à la bonne installation de votre projet.";"";"non";"2015-05-02 09:58:08";"";"";""
"AWAY TEAM";"J'ai compris";"aWAY Project";"aWAY est une expérience interactive qui questionne sur le dilemme que l’on peut ressentir dans le choix entre Rêve et Réalité.
 Une expérience sous deux formes interconnectées :
 L’une très immersive et solitaire pour la personne plongée dans le subconscient (à l’aide un casque de réalité virtuelle).
 L’autre plus accessible et plus ancrée dans le réel pour interagir avec le subconscient de la personne immergée (par le biais d’un périphérique tactile).
 Où l’expérience vous mènera-t-elle ?";"Windows,OSX,iOS";"";"http://novaplay.me/away";"https://www.youtube.com/watch?v=Jkqqnmhd4AA";"http://files.intrazik.com/231/away-team-screenshot-1-3133-493-20150430-090358.jpg";"http://files.intrazik.com/231/away-team-screenshot-2-3371-493-20150430-090358.png";"http://files.intrazik.com/231/away-team-screenshot-3-3373-493-20150430-090358.png";"http://files.intrazik.com/231/away-team-jaquette-3375-493-20150430-090359.png";"";"Oculus Rift
 Ipad
 PC ou Mac (pas sur encore)
 un airport";"une chaise longue
 manette 360/PS3
 Un écran pour le retour visuel
 Un projecteur
 Un drap
 Pc (pas sur)";"";"non";"2015-04-30 09:03:57";"";"";""
"AREA EFFECT";"J'ai compris";"Izle";"IZLE est un action-RPG procédural en 3D dans lequel le joueur devra bâtir son propre univers et reconstruire le dernier monde de lumière.";"Windows,OSX,Linux,Console";"";"http://izlegame.com/";"https://www.youtube.com/watch?v=UPe9LuDUPaU";"http://files.intrazik.com/231/area-effect-screenshot-1-3133-493-20150429-170734.jpg";"http://files.intrazik.com/231/area-effect-screenshot-2-3371-493-20150429-170735.jpg";"http://files.intrazik.com/231/area-effect-screenshot-3-3373-493-20150429-170735.jpg";"http://files.intrazik.com/231/area-effect-jaquette-3375-493-20150429-170735.jpg";"01/10/2016";"Posters pour affichage";"1 OU 2 PCs avec écran 16:9, le jeu peut être joué clavier souris ou avec controller X360 branché en USB. Le son est important, donc casques serait un bon plus :)";"";"non";"2015-04-29 17:07:34";"";"";""
"GILDAS P.";"J'ai compris";"Abstract Pixel Run!";"Il s'agit d'un plateformeur génératif, ""die and retry"".
 1 joueur, ambiance abstraite/design génératif.";"Windows,OSX,Autre";"Linux et Android à venir, iOS un jour petu-être...";"http://abstractpixelgames.com/";"http://abstractpixelgames.com/web_system/videos/loop01-h264.mp4";"http://files.intrazik.com/231/gildas-p-screenshot-1-3133-493-20150429-152018.gif";"http://files.intrazik.com/231/gildas-p-screenshot-2-3371-493-20150429-152019.gif";"http://files.intrazik.com/231/gildas-p-screenshot-3-3373-493-20150429-152019.jpg";"";"06/03/2015";"Une petite borne d'arcade avec le jeu dessus (40 x 47 x 38 cm) avec un pc dedans.
 Quelques manettes USB (nes) au cas où le jeu peut être installé ailleurs...
 Peut-être quelques cartes de visites + flyers du jeu ?";"Le jeu peut être installé sur d'autres postes éventuellement, avec d'autres jeux par exemple.
 Pas de besoin particulier.";"";"non";"2015-04-29 15:20:18";"";"";""
"FLYING OAK GAMES";"J'ai compris";"NeuroVoider";"NeuroVoider est un shoot rogue-like, jouable à 4 en coopération.
 Combattez la horde de robots sentinelles, améliorer votre cyborg avec leurs restes et éliminez le Master NeuroVoider.";"Windows,Console";"";"http://neurovoider.flying-oak.com/";"";"http://files.intrazik.com/231/flying-oak-games-screenshot-1-3133-493-20150429-134944.png";"http://files.intrazik.com/231/flying-oak-games-screenshot-2-3371-493-20150429-134944.png";"http://files.intrazik.com/231/flying-oak-games-screenshot-3-3373-493-20150429-134945.png";"http://files.intrazik.com/231/flying-oak-games-jaquette-3375-493-20150429-134945.pdf";"01/09/2015";"- PC
 - TV
 - 4 manettes";"4 chaises seraient idéales, ou des coussins pour jouer par terre ?";"";"non";"2015-04-29 13:49:44";"";"";""
"WAKO FACTORY";"J'ai compris";"Samurai Riot";"Samurai Riot est un Beat them all coopératif en 2D prévu sur Steam début 2016.
 Avec un gameplay très arcade et un scénario à embranchement permettant de vivre une nouvelle histoire à chaque partie, le jeu propose de suivre l’aventure d’un petit groupe de samouraïs au beau milieu d’une guerre civile où s’affrontent tradition et modernisme.
 La démo jouable du jeu sera présentée pour la toute première fois au public durant le Stunfest !";"Windows,OSX,Linux,Windows Phone,Console";"";"http://www.wakofactory.com/";"";"http://files.intrazik.com/231/wako-factory-screenshot-1-3133-493-20150429-122619.jpg";"http://files.intrazik.com/231/wako-factory-screenshot-2-3371-493-20150429-122620.jpg";"http://files.intrazik.com/231/wako-factory-screenshot-3-3373-493-20150429-122620.jpg";"http://files.intrazik.com/231/wako-factory-jaquette-3375-493-20150429-122620.jpg";"01/04/2015";"3 écrans, 3 pc portable, 4 manettes, 1 kakemono 1mx2m, des affiches à afficher, des affiches et carte cadeau.";"2 espaces démo et 1 espace accueil. Les espaces démo doivent chacun pouvoir recevoir 2 joueurs et on doit pouvoir y mettre un écran et deux manettes. L'espace accueille présente un ecran du jeu et nous permet de parler du jeu aux visiteurs avant de les faire tester. Merci de me contacter si necessaire : 06 51 79 95 00";"";"non";"2015-04-29 12:26:19";"";"";""
"LONE STONE STUDIO";"J'ai compris";"City Invaders";"Dans City Invaders, chaque joueur contrôle une bande de survivants durant une apocalypse zombie, et va affronter des zombies et d’autres joueurs pour le contrôle de lieux « réels », c’est-à-dire existant irl . Les combats se déroulent sous la forme de batailles tactiques au tour par tour, durant lesquelles chaque joueur devra utiliser au mieux les compétences spéciales de ses personnages pour l’emporter. Une fois victorieux, le joueur pourra améliorer le lieu, accumuler des ressources, créer une alliance et étendre son territoire.
 City Invaders est donc la rencontre de plusieurs genres du jeu vidéo : Tactical RPG (XCOM, Final Fantasy Tactics), MMORPG, Online Strategy game (Heroes Kingdoms) et du concept de géolocalisation.";"Windows,OSX,Linux,iOS,Android,Windows Phone,Autre";"Navigateur";"http://www.cityinvaders.com/";"Soon (dans 2 semaines environ elle devrait être terminée)";"http://files.intrazik.com/231/lone-stone-studio-screenshot-1-3133-493-20150429-010104.jpg";"http://files.intrazik.com/231/lone-stone-studio-screenshot-2-3371-493-20150429-010105.jpg";"http://files.intrazik.com/231/lone-stone-studio-screenshot-3-3373-493-20150429-010105.jpg";"http://files.intrazik.com/231/lone-stone-studio-jaquette-3375-493-20150429-010105.png";"01/01/2016";"On amène un vidéo projecteur ,quelques pc portables et tablettes graphiques, 3 ou 4 tablettes (ipad, nexus) pour faire des démonstrations en direct.
 Niveau projection, vous pensez que ça passe ? Pas trop de lumières, on y verra quelque chose ?";"De mobiliers pour que les tablettes et que les joueurs puissent venir tester (tables hautes et chaises hautes ça serait cool, sinon Fauteuils et tables basses ? Mais c'est moins engageant)
 Un écran de projection / mur blanc.";"";"non";"2015-04-29 01:01:04";"";"";""
"CHRISDENEOS";"J'ai compris";"Tasukete Tako-San: Save me Mr Tako!";"Tasukete Tako-San est un jeu d'action/plateforme à l'ancienne dont le développement à commencé pour les 25 ans du Game Boy. Vous incarnez Mr Tako, un poulpe refusant de partir en guerre contre les humains, dans un monde 8bit aux couleurs du Game Boy. Il peut cracher de l'encre, ce qui change les ennemis en plateforme, et peu aussi trouver un des 35 pouvoirs supplémentaires afin de progresser dans sa quête. Le jeu contient un mode Histoire, un mode Runner avec un monde généré semi aléatoirement et un scrolling forcé, ainsi qu'un mode Multijoueur en Coopération et Versus en arène (jusqu'à 4 joueurs).";"Windows,OSX,Linux,Autre";"WiiU / New3DS";"http://www.indiedb.com/games/tasukete-tako-san-save-me-mr-tako";"https://www.youtube.com/watch?v=CInqEeewXnc";"http://files.intrazik.com/231/chrisdeneos-screenshot-1-3133-493-20150428-215618.png";"http://files.intrazik.com/231/chrisdeneos-screenshot-2-3371-493-20150428-215618.png";"http://files.intrazik.com/231/chrisdeneos-screenshot-3-3373-493-20150428-215619.png";"";"21/04/2016 (espéré)";"Une manette PC, un PC portable (écran abimé), un casque";"De PC supplémentaires si possible ou d'un écran pour le mien qui est abimé.";"";"non";"2015-04-28 21:56:18";"";"";""
"PIXELNEST STUDIO";"Sélectionner";"Steredenn";"Steredenn est un space shooter frénétique tout en gros pixels. Votre but ? Monter à bord de votre vaisseau pour affronter de terribles pirates de l'espace dans une course vers le plus haut score possible. Chaque ennemi que vous affronterez dans Steredenn est plus imposant et effrayant que le précédent. Chaque nouveau boss sera plus énorme et inventif que les autres ! Mais heureusement, des armes tout aussi incroyables vous aideront à vous frayer un chemin dans cet univers silencieux mais ô combien explosif !";"Windows,OSX,Linux,Console,Autre";"Xbox One";"http://steredenn.pixelnest.io";"https://www.youtube.com/watch?v=vUnwuNje110&feature=youtu.be";"http://files.intrazik.com/231/pixelnest-studio-screenshot-1-3133-493-20150428-163600.png";"http://files.intrazik.com/231/pixelnest-studio-screenshot-2-3371-493-20150428-163601.png";"http://files.intrazik.com/231/pixelnest-studio-screenshot-3-3373-493-20150428-163601.png";"";"31/07/2015";"Une borne d'arcade (la Naomi d'Aymeric bidouillée et repeinte).";"Rien de spécial.";"";"non";"2015-04-28 16:35:55";"";"";""
"DA PICKY MONKEY";"Sélectionner";"Box Out!";"Fan de jeux de plateformes à la recherche de challenges ? Box Out! va mettre vos skills à l'épreuve. Prenez le contrôle de Boxy et maitrisez ses 6 transformations afin de venir à bout de 120 niveaux à la difficulté croissante. Repérez le meilleur parcours, optimisez vos mouvements et hissez-vous en haut des leaderboards.";"Windows";"";"dapickymonkey.com";"https://www.youtube.com/watch?v=u514wxll8pA";"http://files.intrazik.com/231/da-picky-monkey-screenshot-1-3133-493-20150427-162120.png";"http://files.intrazik.com/231/da-picky-monkey-screenshot-2-3371-493-20150427-162121.png";"http://files.intrazik.com/231/da-picky-monkey-screenshot-3-3373-493-20150427-162121.png";"http://files.intrazik.com/231/da-picky-monkey-jaquette-3375-493-20150427-162122.png";"04/05/2015";"- 2 manettes xbox360
 - le jeu
 - des t-shirts/goodies";"- 2 ordinateurs
 - 2 écrans";"";"non";"2015-04-27 16:21:20";"";"";""
